title,slug,city,province,country,latitude,longitude,population,tourism_note,nearby_cities
Almere,almere,Almere,Flevoland,Netherlands,52.3508,5.2647,218000,"A fast-growing city near Amsterdam popular for private parties and celebrations.","Lelystad,Hilversum,Amsterdam,Amersfoort"
Amstelveen,amstelveen,Amstelveen,North Holland,Netherlands,52.3080,4.8730,92000,"A popular suburb of Amsterdam with many private party bookings and celebrations.","Amsterdam,Aalsmeer,Uithoorn,Hoofddorp"
Haarlem,haarlem,Haarlem,North Holland,Netherlands,52.3874,4.6462,162000,"A historic city close to Amsterdam known for vibrant nightlife and group celebrations.","Amsterdam,Zaandam,Hoofddorp,IJmuiden"
Zaandam,zaandam,Zaandam,North Holland,Netherlands,52.4385,4.8260,76000,"A lively town just north of Amsterdam with frequent group parties and nightlife.","Amsterdam,Purmerend,Haarlem,Wormerveer"
Hoofddorp,hoofddorp,Hoofddorp,North Holland,Netherlands,52.3025,4.6886,78000,"A busy town near Schiphol Airport with many private events and celebrations.","Amsterdam,Haarlem,Aalsmeer,Amstelveen"
Purmerend,purmerend,Purmerend,North Holland,Netherlands,52.5050,4.9597,82000,"A growing city north of Amsterdam popular for celebrations and private parties.","Amsterdam,Zaandam,Volendam,Edam"
Volendam,volendam,Volendam,North Holland,Netherlands,52.4950,5.0722,22000,"A famous Dutch town attracting many visitors and weekend celebrations.","Edam,Purmerend,Monnickendam,Amsterdam"
Hilversum,hilversum,Hilversum,North Holland,Netherlands,52.2292,5.1669,91000,"A lively town in the Gooi region known for nightlife and private parties.","Amsterdam,Amersfoort,Bussum,Naarden"
Bussum,bussum,Bussum,North Holland,Netherlands,52.2733,5.1611,34000,"A residential town near Amsterdam where private celebrations are common.","Hilversum,Naarden,Muiden,Weesp"
Naarden,naarden,Naarden,North Holland,Netherlands,52.2950,5.1620,18000,"Historic fortified town known for private events and celebrations.","Bussum,Hilversum,Muiden,Huizen"
Amersfoort,amersfoort,Amersfoort,Utrecht,Netherlands,52.1561,5.3878,160000,"A vibrant historic city with many group celebrations and nightlife venues.","Utrecht,Hilversum,Barneveld,Soest"
Soest,soest,Soest,Utrecht,Netherlands,52.1730,5.3042,46000,"A relaxed town near Amersfoort popular for private parties and events.","Amersfoort,Baarn,Hilversum,Utrecht"
Baarn,baarn,Baarn,Utrecht,Netherlands,52.2110,5.2870,25000,"A charming town near royal estates with frequent private gatherings.","Soest,Hilversum,Amersfoort,Zeist"
Zeist,zeist,Zeist,Utrecht,Netherlands,52.0907,5.2330,65000,"A lively suburb of Utrecht with nightlife and private events.","Utrecht,Bunnik,Driebergen,Amersfoort"
Nieuwegein,nieuwegein,Nieuwegein,Utrecht,Netherlands,52.0286,5.0800,64000,"A modern city south of Utrecht popular for celebrations and parties.","Utrecht,Houten,Vianen,IJsselstein"
Delft,delft,Delft,South Holland,Netherlands,52.0116,4.3571,104000,"A historic university town with lively student nightlife and celebrations.","The Hague,Rotterdam,Rijswijk,Pijnacker"
Zoetermeer,zoetermeer,Zoetermeer,South Holland,Netherlands,52.0607,4.4940,125000,"A large suburb between Rotterdam and The Hague with strong demand for private entertainment.","The Hague,Leiden,Delft,Gouda"
